P,lK1_ratio,lK3_ratio
13.608386019310409,(0.0034611219122820266+1.4583358245997482e-27j),(0.006592054678004127+2.768820946562082e-27j)
14.47108024983013,(0.0037022659534679857+4.037191602063675e-27j),(0.007007067882037843+7.615616751141451e-27j)
15.38846438511269,(0.003963464015368718-6.02918668978541e-28j),(0.007448018383833992-1.1290222347149857e-27j)
16.364005453888712,(0.004247083025678624+3.737689806707099e-28j),(0.007916502702090551+6.94132629098992e-28j)
17.40139027478009,(0.004555912539308794-2.3603220329633215e-27j),(0.008414212452190413-4.3423295538836156e-27j)
18.504539389728222,(0.004893267283031308+2.1196954740545115e-24j),(0.00894293958088377+3.8609139517696344e-24j)
19.677621880722434,(0.005263124214016684-1.1191173557244597e-27j),(0.009504581818193457-2.0123767865311986e-27j)
20.9250711258246,(0.005670294960582089+1.576354033990646e-21j),(0.010101148353475977+2.794655442975854e-21j)
22.25160155403614,(0.006120697502599052+1.472188133937131e-20j),(0.010734765603080641+2.5092441182687475e-20j)
23.662226462328046,(0.006621516299252383+2.0934834463706852e-23j),(0.01140768363595797+3.599637607526416e-23j)
25.162276962169443,(0.007182036744488465-5.947605865708841e-19j),(0.012122281516270022-1.0094252175846496e-18j)
26.757422127158147,(0.007813955809079018-1.3418935401060981e-17j),(0.012881074331942233-2.1985632842525748e-17j)
28.45369041789626,(0.008532198364085034-3.1809475439180133e-18j),(0.013686719334052685-5.2354821348482135e-18j)
30.25749246508108,(0.0093555214305596-3.339174445945464e-21j),(0.014542021850231726-4.9212337555873946e-21j)
32.17564529691424,(0.01031005863419616+3.955239498799995e-19j),(0.015449940837358806+6.031010935490812e-19j)
34.21539810239084,(0.011434530015051535+1.2825131061711092e-16j),(0.01641358793891648+1.6050440133033643e-16j)
36.38445962783424,(0.01276853375652513-3.9477619276399206e-19j),(0.017436253699717675-5.151768034129518e-19j)
38.69102731021547,(0.01439128440270613+1.1791060157679616e-17j),(0.018521362219942272+1.6598597420808966e-17j)
41.14381825735935,(0.01641405307121517-1.6694129819470803e-18j),(0.01967249062775624-2.0360127073540217e-18j)
43.752102192119054,(0.018982583129514768-3.8045787272796474e-16j),(0.020893378186173112-3.608493609741633e-16j)
46.525736485024204,(0.022344715940010623-1.0309563305487223e-18j),(0.022187843890784594-9.737778842696104e-19j)
49.47520340779928,(0.026933902034703965-3.893016457759017e-15j),(0.023559661050545473-3.2436237283024752e-15j)
52.61164974854329,(0.033465661764937836-3.8833964562183187e-16j),(0.025009934128761502-2.1094708980411e-16j)
55.94692893828608,(0.04312645034679549+5.352914279179685e-15j),(0.026549364957611832+3.416223223646018e-15j)
59.493645848128814,(0.05783921776809537-6.375509391886414e-15j),(0.028172539935332353-2.7164510235815938e-15j)
63.26520442626835,(0.0800686632469674+2.781115489417147e-14j),(0.029883137724269277+9.460924445063139e-15j)
67.27585835493741,(0.1105632091205976+2.4429983173092437e-14j),(0.031654855511836485+6.807950604066607e-15j)
71.5407649187069,(0.1480342106076282+8.385577274790123e-14j),(0.033580562358081205+2.2322084973108325e-14j)
76.07604228773201,(0.18895115156837217-3.311546002205576e-14j),(0.03558227643140168-7.268031153333275e-15j)
80.89883043242975,(0.23092479935548862+5.4592059048293584e-14j),(0.03769152239442548+1.1094919940317637e-14j)
86.02735589980087,(0.2694465487398749+4.5467472901561223e-14j),(0.03994359000590312+7.959674714474844e-15j)
91.48100069620155,(0.3075160962498362-8.964963517568587e-15j),(0.04232284818910325-1.5821230638437338e-14j)
97.28037553689136,(0.3406904971868099+3.8410045540514255e-13j),(0.04485550708639474+2.676480025933559e-13j)
103.44739773918488,(0.3650828146709086-1.208642610394639e-14j),(0.04756632998578847-5.1468855465711544e-14j)
110.00537405358656,(0.42117547820217077-7.22294346396344e-20j),(0.050269855507022-5.043242248635171e-20j)
116.97908874594815,(0.45121510131574+2.272171698588231e-14j),(0.05330984599095105+4.623538723660635e-15j)
124.39489726353294,(0.477705256702911-6.40608750672483e-13j),(0.0565495777775536-9.027376795226231e-13j)
132.28082583897628,(0.5048759571648359-2.6767664717505907e-13j),(0.05982788073125386-1.5838400420748151e-13j)
140.6666774085697,(0.5376902340913498-7.553964857261685e-14j),(0.06330533500752647-4.3286474534314244e-13j)
149.58414424516238,(0.5566534111241174-3.060503626631074e-12j),(0.06706608327394879-3.2284239696538295e-12j)
159.0669277313462,(0.5855464994966055-3.408953766201053e-15j),(0.07089226252883324+9.481033008366979e-13j)
169.1508657255803,(0.6147327729167932+1.1215730680603781e-12j),(0.07528918418427814+2.51573256354989e-12j)
179.87406800260305,(0.6395316747192248+1.8986007490757252e-13j),(0.07950941655621092-3.971680607877798e-12j)
191.27706027999446,(0.6466544683986599-4.613298950925483e-12j),(0.0844602136765958-5.171194178556427e-12j)
203.4029373752039,(0.6800778596679494-1.0120327928336819e-13j),(0.08928194247085541-3.00533182608205e-13j)
216.29752607186128,(0.68528159851356-2.6916063297743897e-13j),(0.09526807059153639-5.405591250281929e-12j)
230.00955831088646,(0.7076686832386122-8.818896345489644e-12j),(0.10275836379267769-3.769120755820002e-12j)
244.59085536092758,(0.6974698610850989+3.752515832657255e-12j),(0.11185077171377927-1.9847926643845796e-12j)
